"Country","Original Budget","Available Budget","Actual Expenditures","Carryover Budget","Expenditures to Date","Percentage Used","Comments","Comments","Year","Parent Category","Category"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Delivery"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Content Development"
"Global","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Educational Materials","Other (Please Specify) - Edu Material"
"Global","1055.00","1055.00","1055.00","0.00","1055.00","100.00","","","2019","Other","Other (Please Specify)"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Other","Other (Please Specify)"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Other","Other (Please Specify)"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Other","Other (Please Specify)"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Other","Other (Please Specify)"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Other","Other (Please Specify)"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Other","Other (Please Specify)"
"Global","94374.00","94374.00","94374.00","0.00","94374.00","100.00","","Realignment to year 3 due to La Caixa and Turkey","2019","Payroll","Direct Program / Project Staff Salaries"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Payroll","Direct Program / Project Staff Salaries"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Payroll","Direct Program / Project Staff Salaries"
"Spain","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Payroll","Direct Program / Project Staff Salaries"
"Portugal","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Payroll","Direct Program / Project Staff Salaries"
"Turkey","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Payroll","Direct Program / Project Staff Salaries"
"United Arab Emirates","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Payroll","Direct Program / Project Staff Salaries"
"Global","13782.00","13782.00","13782.00","0.00","13782.00","100.00","","","2019","Program Delivery","Indirect Operational Costs"
"Morocco","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","Indirect Operational Costs"
"Saudi Arabia","0.00","0.00","0.00","0.00","0.00","0.00","","","2019","Program Delivery","Indirect Operational Costs"
